parent_id,category_id,category_name,notes
0,1,Architecture Services,
0,2,Engineering Service Providers,
0,3,Construction Services,
0,4,Buildings,
0,5,Utilities & Telecom,
0,6,Civil Infrastructure,
0,7,Industrial Machinery,
0,8,Auto & Transportation,
0,9,Building Products & Fabrication,
0,10,Consumer Products,
0,11,Life Sciences Manufacturing,
0,12,Games,
0,13,Other,
0,14,Education,
0,15,Process Manufacturing,
0,16,Mining,
0,17,Oil & Gas,
0,18,Film & TV,
0,19,"Advertising, Publishing & Graphic Design",
0,20,Other Manufacturing,
0,21,Aerospace & Defense Equipment,
19,99999074,Advertising,This category includes both traditional and interactive/digital agencies as well as companies providing a range of marketing services such as event marketing
21,99999083,Aerospace,"This category contains commercial aircraft, satellite communication and instrumentation equipment, aircraft specific hardware & equipment, aerospace service & repair equipment, aviation specific weapons mounts & payload delivery systems, aircraft safety equipment as well as sensors & navigation systems."
10,99999034,Apparel & Footwear,"This category includes men's, women's and children's clothing, under and outerwear, scarves, and gloves. It also includes dress, casual and athletic footwear, boots and sandals."
1,99999001,Architecture Service Provider / Architectural Engineering,"This category includes companies or organizations whose PRIMARY activity is to provide professional architectural services related to the planning, design and construction of buildings and landscapes. Companies in this category also include those that offer design services related to architectural work, but does not include city planning or ship and boat design companies. This category also includes interior design services and landscape architecture."
8,99999028,Auto & Transportation Other,"This category includes buses, trucks & trailers, recreational vehicles, component suppliers and related engineering services suppliers. This sub-segment excludes automotive passenger vehicles and light trucks."
8,99999024,Automotive / Vehicle Manufacturer,This category includes passenger vehicle and light truck manufacturers.
8,99999025,Automotive Supplier,"This category contains automotive component suppliers (original equipment and aftermarket), automotive tooling suppliers and automotive engineering services providers."
18,99999072,Broadcasting,This category includes companies responsible for the acquisition and/or production of recorded and live TV programs and their transmission. This segment includes broadcasters and cable companies
9,99999030,Building Equipment,"Building equipment covers more complex systems that govern a building's operation - including systems for heating, ventilation, cooling and drying; plumbing, electrical, safety and security, pollution control, fire suppression/protection, control systems, building power generation and distribution, and communications. This also includes fabricated routing, piping & conduit, and ductwork."
9,99999029,Building Products,"Building products cover discrete manufactured items that go into a building. These items are generally standard or configurable ""catalog items"" and include standard openings such as doors, windows, and partitions; lighting and plumbing fixtures; industrial furniture and appliances; escalators and elevators, storage and specialty items, complex castings and moldings, and various design-relevant joinery elements and connectors."
4,99999059,Building Services,"This category includes companies whose primary business is to maintain, operate and service buildings"
9,99999032,Building Supplies,"This category covers the raw and minimally-processed materials used to make a building. This includes lumber, wood paneling, finishes (paint, laminates, etc.), unit masonry, metal stock, insulation, and flat glass and glass treatments (but not including glazed units as part of curtainwall). This also includes non-design intensive, small stock generic items bought in bulk - including various connectors (screws, nails, clips, hangers, connector plates, etc.)."
15,99999064,Chemicals & Pharmaceuticals,"This category represents private companies and public agencies that are involved in the manufacturing of adhesives, medical drugs, medicinal grade oils & chemicals, pulp, alkalies, industrial gases (hydrogen, oxygen, aerosols, carbon dioxide, etc.), coke oven products (chemical recovery), ink, compounds, explosives, derivatives, and other related products."
21,99999084,Commercial Defense,"This category contains military application vehicles and aircraft, military grade weapons and encrypted communications systems, military ordnance & munitions, as well as the supply of components, fabrication and MRO services for these applications."
20,99999079,Commercial Electronics,"This category includes companies within the electronics industry which are not classified within Consumer Products nor Industrial Machinery. Example companies product generic computer components, business & office equipment (excludes imaging & printing), public interface machines (i.e. gambling, voting, automated teller, etc), accounting machines, cash registers, optical scanning equipment, industrial communication equipment, electronic calibration/measurement and test equipment, commercial audio & entertainment equipment, as well as generic electronic circuits and assemblies."
3,99999003,Construction,"This category includes Construction Service Providers who are not directly involved with Construction Fabrication of custom steel, wood and pre-cast concrete components and assemblies. The term construction includes new work, additions, alterations, reconstruction, installations and repairs. "
,99999086,Construction Fabrication,"Includes companies or organizations whose primary activity is to custom fabricate and manufacture assemblies and components from commodity materials such as AISC steel shapes, dimensional lumber, and concrete or artificial masonry mixtures."
10,99999037,Consumer Electronics,"This category includes a wide range of goods including personal computers, home communications, mobile phones, personal Wi-Fi & network equipment, video game consoles & devices, portable music players, audio and video equipment, photographic equipment, televisions, portable navigation systems, and small consumer batteries. This segment also includes professional versions of Consumer Electronics such as photo, audio and video equipment."
10,99999033,Consumer Packaged Goods,"This category includes packaged foods, food products, food ingredients, beverages, tobacco products, soaps & cleaning supplies, personal care goods, sanitary paper products, toiletries, cosmetics and pet food & nutritional items."
9,99999031,Custom Fabrication,"This category spans both the custom-manufacturing of building components built for a specific building and transported to the site (i.e. metal stairs and railings), and pre-constructed assemblies that are designed and built for a specific building through an iterative construction process (i.e. modular bathrooms and kitchen units, or custom MEP systems). This category spans manufacturers and subcontractors and includes building enclosure systems (such as curtain wall and cladding) and other structural and non-structural wall systems; custom architectural components such as custom wood millwork and casework, architectural metal (stairs and railings), pre-cast architectural concrete; pre-fabricated modular systems such as pre-fab buildings, room units (bathroom and kitchen units), and other modular sections of buildings; custom MEP systems; stone assemblies (chimneys, stone walls, etc.) and wood and light gauge framing systems."
